timestamp,Position_Change
1970-01-01 00:00:00.000000053,1.0
1970-01-01 00:00:00.000000106,-2.0
1970-01-01 00:00:00.000000134,2.0
1970-01-01 00:00:00.000000137,-2.0
1970-01-01 00:00:00.000000156,2.0
1970-01-01 00:00:00.000000162,-2.0
1970-01-01 00:00:00.000000205,2.0
1970-01-01 00:00:00.000000250,-2.0
1970-01-01 00:00:00.000000294,2.0
1970-01-01 00:00:00.000000347,-2.0
1970-01-01 00:00:00.000000367,2.0
1970-01-01 00:00:00.000000382,-2.0
1970-01-01 00:00:00.000000453,2.0
1970-01-01 00:00:00.000000482,-2.0
1970-01-01 00:00:00.000000598,2.0
1970-01-01 00:00:00.000000631,-2.0
1970-01-01 00:00:00.000000660,2.0
1970-01-01 00:00:00.000000683,-2.0
1970-01-01 00:00:00.000000795,2.0
1970-01-01 00:00:00.000000834,-2.0
1970-01-01 00:00:00.000000857,2.0
1970-01-01 00:00:00.000000883,-2.0
1970-01-01 00:00:00.000000896,2.0
1970-01-01 00:00:00.000000947,-2.0
1970-01-01 00:00:00.000001003,2.0
1970-01-01 00:00:00.000001060,-2.0
1970-01-01 00:00:00.000001067,2.0
1970-01-01 00:00:00.000001182,-2.0
1970-01-01 00:00:00.000001186,2.0
1970-01-01 00:00:00.000001211,-2.0
1970-01-01 00:00:00.000001255,2.0
1970-01-01 00:00:00.000001346,-2.0
1970-01-01 00:00:00.000001560,2.0
1970-01-01 00:00:00.000001613,-2.0
1970-01-01 00:00:00.000001634,2.0
1970-01-01 00:00:00.000001663,-2.0
1970-01-01 00:00:00.000001687,2.0
1970-01-01 00:00:00.000001716,-2.0
1970-01-01 00:00:00.000001740,2.0
1970-01-01 00:00:00.000001789,-2.0
1970-01-01 00:00:00.000001847,2.0
1970-01-01 00:00:00.000001899,-2.0
1970-01-01 00:00:00.000001946,2.0
1970-01-01 00:00:00.000002019,-2.0
1970-01-01 00:00:00.000002060,2.0
1970-01-01 00:00:00.000002114,-2.0
1970-01-01 00:00:00.000002255,2.0
1970-01-01 00:00:00.000002282,-2.0
1970-01-01 00:00:00.000002325,2.0
1970-01-01 00:00:00.000002382,-2.0
1970-01-01 00:00:00.000002401,1.0
1970-01-01 00:00:00.000002402,1.0
1970-01-01 00:00:00.000002465,-2.0
1970-01-01 00:00:00.000002526,2.0
1970-01-01 00:00:00.000002598,-2.0
1970-01-01 00:00:00.000002627,2.0
1970-01-01 00:00:00.000002671,-2.0
1970-01-01 00:00:00.000002736,2.0
1970-01-01 00:00:00.000002770,-2.0
1970-01-01 00:00:00.000002794,2.0
1970-01-01 00:00:00.000002809,-2.0
1970-01-01 00:00:00.000002854,2.0
1970-01-01 00:00:00.000002897,-2.0
1970-01-01 00:00:00.000002931,2.0
1970-01-01 00:00:00.000002956,-2.0
1970-01-01 00:00:00.000002999,2.0
1970-01-01 00:00:00.000003045,-2.0
1970-01-01 00:00:00.000003081,2.0
1970-01-01 00:00:00.000003095,-2.0
1970-01-01 00:00:00.000003105,2.0
1970-01-01 00:00:00.000003145,-2.0
1970-01-01 00:00:00.000003162,2.0
1970-01-01 00:00:00.000003199,-2.0
1970-01-01 00:00:00.000003242,2.0
1970-01-01 00:00:00.000003292,-2.0
1970-01-01 00:00:00.000003365,2.0
1970-01-01 00:00:00.000003376,-2.0
1970-01-01 00:00:00.000003485,2.0
1970-01-01 00:00:00.000003497,-2.0
1970-01-01 00:00:00.000003518,2.0
1970-01-01 00:00:00.000003526,-2.0
1970-01-01 00:00:00.000003552,2.0
1970-01-01 00:00:00.000003577,-2.0
1970-01-01 00:00:00.000003584,2.0
1970-01-01 00:00:00.000003633,-2.0
1970-01-01 00:00:00.000003672,2.0
1970-01-01 00:00:00.000003813,-2.0
1970-01-01 00:00:00.000003923,2.0
1970-01-01 00:00:00.000003936,-2.0
1970-01-01 00:00:00.000004000,2.0
1970-01-01 00:00:00.000004095,-2.0
1970-01-01 00:00:00.000004103,2.0
1970-01-01 00:00:00.000004150,-2.0
1970-01-01 00:00:00.000004219,2.0
1970-01-01 00:00:00.000004242,-2.0
1970-01-01 00:00:00.000004256,2.0
1970-01-01 00:00:00.000004266,-2.0
1970-01-01 00:00:00.000004287,2.0
1970-01-01 00:00:00.000004342,-2.0
1970-01-01 00:00:00.000004388,2.0
1970-01-01 00:00:00.000004408,-2.0
1970-01-01 00:00:00.000004522,2.0
1970-01-01 00:00:00.000004535,-2.0
1970-01-01 00:00:00.000004556,2.0
1970-01-01 00:00:00.000004564,-2.0
1970-01-01 00:00:00.000004620,2.0
1970-01-01 00:00:00.000004713,-2.0
1970-01-01 00:00:00.000004850,2.0
1970-01-01 00:00:00.000004865,-2.0
1970-01-01 00:00:00.000004931,2.0
1970-01-01 00:00:00.000005059,-2.0
1970-01-01 00:00:00.000005126,2.0
1970-01-01 00:00:00.000005215,-2.0
1970-01-01 00:00:00.000005230,2.0
1970-01-01 00:00:00.000005345,-2.0
1970-01-01 00:00:00.000005375,2.0
1970-01-01 00:00:00.000005383,-2.0
1970-01-01 00:00:00.000005408,2.0
1970-01-01 00:00:00.000005478,-2.0
1970-01-01 00:00:00.000005507,2.0
1970-01-01 00:00:00.000005538,-2.0
1970-01-01 00:00:00.000005565,2.0
1970-01-01 00:00:00.000005631,-2.0
1970-01-01 00:00:00.000005635,2.0
1970-01-01 00:00:00.000005687,-2.0
1970-01-01 00:00:00.000005693,2.0
1970-01-01 00:00:00.000005694,-2.0
1970-01-01 00:00:00.000005730,2.0
1970-01-01 00:00:00.000005830,-2.0
1970-01-01 00:00:00.000005870,2.0
1970-01-01 00:00:00.000005939,-2.0
1970-01-01 00:00:00.000005995,2.0
1970-01-01 00:00:00.000006061,-2.0
1970-01-01 00:00:00.000006193,2.0
1970-01-01 00:00:00.000006206,-2.0
1970-01-01 00:00:00.000006283,2.0
1970-01-01 00:00:00.000006303,-2.0
1970-01-01 00:00:00.000006434,2.0
1970-01-01 00:00:00.000006509,-2.0
1970-01-01 00:00:00.000006588,2.0
1970-01-01 00:00:00.000006635,-2.0
1970-01-01 00:00:00.000006665,2.0
1970-01-01 00:00:00.000006705,-2.0
1970-01-01 00:00:00.000006718,2.0
1970-01-01 00:00:00.000006793,-2.0
1970-01-01 00:00:00.000006810,2.0
1970-01-01 00:00:00.000006862,-2.0
1970-01-01 00:00:00.000006972,2.0
1970-01-01 00:00:00.000006987,-2.0
1970-01-01 00:00:00.000007032,2.0
1970-01-01 00:00:00.000007074,-2.0
1970-01-01 00:00:00.000007119,2.0
1970-01-01 00:00:00.000007177,-2.0
1970-01-01 00:00:00.000007250,2.0
1970-01-01 00:00:00.000007287,-2.0
1970-01-01 00:00:00.000007329,2.0
1970-01-01 00:00:00.000007369,-2.0
1970-01-01 00:00:00.000007429,2.0
1970-01-01 00:00:00.000007455,-2.0
1970-01-01 00:00:00.000007517,2.0
1970-01-01 00:00:00.000007587,-2.0
1970-01-01 00:00:00.000007656,2.0
1970-01-01 00:00:00.000007700,-2.0
1970-01-01 00:00:00.000007756,2.0
1970-01-01 00:00:00.000007779,-2.0
1970-01-01 00:00:00.000007869,2.0
1970-01-01 00:00:00.000007898,-2.0
1970-01-01 00:00:00.000008009,2.0
1970-01-01 00:00:00.000008048,-2.0
1970-01-01 00:00:00.000008124,2.0
1970-01-01 00:00:00.000008263,-2.0
1970-01-01 00:00:00.000008274,2.0
1970-01-01 00:00:00.000008423,-2.0
1970-01-01 00:00:00.000008518,2.0
1970-01-01 00:00:00.000008552,-2.0
1970-01-01 00:00:00.000008562,2.0
1970-01-01 00:00:00.000008588,-2.0
1970-01-01 00:00:00.000008612,2.0
1970-01-01 00:00:00.000008649,-2.0
1970-01-01 00:00:00.000008675,2.0
1970-01-01 00:00:00.000008711,-2.0
1970-01-01 00:00:00.000008768,2.0
1970-01-01 00:00:00.000008794,-2.0
1970-01-01 00:00:00.000008841,2.0
1970-01-01 00:00:00.000008868,-2.0
1970-01-01 00:00:00.000008890,2.0
1970-01-01 00:00:00.000008912,-2.0
1970-01-01 00:00:00.000008941,2.0
1970-01-01 00:00:00.000008989,-2.0
1970-01-01 00:00:00.000009002,2.0
1970-01-01 00:00:00.000009040,-2.0
1970-01-01 00:00:00.000009084,2.0
1970-01-01 00:00:00.000009097,-2.0
1970-01-01 00:00:00.000009196,2.0
1970-01-01 00:00:00.000009210,-2.0
1970-01-01 00:00:00.000009248,2.0
1970-01-01 00:00:00.000009255,-2.0
1970-01-01 00:00:00.000009267,2.0
